TEAM_NAME,TEAM_ID,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT
Atlanta Hawks,1610612737,31.4,45.6,0.40779999999999994,3718.0,107.84,110.88,-3.02,102.5,17.580000000000002,0.22959999999999997,0.7644,0.4968,0.143
Boston Celtics,1610612738,47.8,30.2,0.6115999999999999,3772.0,109.78,104.97999999999999,4.76,100.36,17.56,0.2306,0.7764,0.5058,0.1356
Brooklyn Nets,1610612751,39.4,38.6,0.5086,3779.0,108.9,108.55999999999999,0.31999999999999995,102.38,17.82,0.2266,0.7672000000000001,0.502,0.14179999999999998
Charlotte Hornets,1610612766,34.8,41.8,0.4502,3703.8,107.8,109.88,-2.08,100.52,17.919999999999998,0.2292,0.7654,0.492,0.13319999999999999
Chicago Bulls,1610612741,29.6,47.0,0.3854,3701.8,105.52000000000001,109.74000000000001,-4.220000000000001,100.96000000000001,17.5,0.211,0.7842,0.4928,0.14079999999999998
Cleveland Cavaliers,1610612739,30.8,45.8,0.39540000000000003,3694.8,106.5,111.46,-4.96,99.58,17.22,0.23199999999999998,0.7696,0.4986,0.14679999999999999
Dallas Mavericks,1610612742,38.8,39.8,0.497,3792.8,109.55999999999999,108.47999999999999,1.08,99.52000000000001,17.4,0.21259999999999998,0.7798,0.49539999999999995,0.1272
Denver Nuggets,1610612743,48.2,30.0,0.6176,3785.6,111.08,108.9,2.18,99.58,19.18,0.2474,0.779,0.5154,0.1392
Detroit Pistons,1610612765,28.6,48.2,0.3674,3713.4,105.16,108.7,-3.56,99.8,17.240000000000002,0.23079999999999998,0.7712,0.49379999999999996,0.1424
Golden State Warriors,1610612744,44.4,32.2,0.5641999999999999,3691.8,109.67999999999999,106.64000000000001,3.04,102.55999999999999,19.72,0.2116,0.7702,0.4976,0.1454
Houston Rockets,1610612745,39.8,38.2,0.506,3761.0,109.05999999999999,109.17999999999999,-0.1,102.66,16.419999999999998,0.2132,0.7628,0.484,0.14140000000000003
Indiana Pacers,1610612754,40.0,38.2,0.5126,3776.6,108.3,107.67999999999999,0.6600000000000001,100.88,18.380000000000003,0.2206,0.7604,0.4918,0.13440000000000002
LA Clippers,1610612746,45.6,32.4,0.5886,3759.0,110.28,107.64000000000001,2.6399999999999997,101.67999999999999,17.259999999999998,0.2246,0.7664,0.5025999999999999,0.13840000000000002
Los Angeles Lakers,1610612747,39.8,38.0,0.5189999999999999,3768.4,106.88,106.47999999999999,0.4,102.9,17.619999999999997,0.2278,0.7768,0.5054000000000001,0.147
Memphis Grizzlies,1610612763,36.6,41.6,0.4694000000000001,3773.6,106.75999999999999,107.35999999999999,-0.5999999999999999,101.41999999999999,18.0,0.2392,0.776,0.5046,0.13879999999999998
Miami Heat,1610612748,44.0,34.2,0.5636,3785.6,107.88,106.22,1.64,99.17999999999999,18.360000000000003,0.219,0.784,0.5058,0.1452
Milwaukee Bucks,1610612749,51.4,26.8,0.6594,3771.6,111.4,105.84,5.54,103.54,17.86,0.2164,0.7922,0.5152,0.135
Minnesota Timberwolves,1610612750,34.2,42.2,0.4378,3695.2,108.55999999999999,109.96,-1.4600000000000002,102.92,17.44,0.2364,0.7604,0.4918,0.1336
New Orleans Pelicans,1610612740,35.6,42.4,0.4548,3773.0,108.82000000000001,109.5,-0.6599999999999999,103.32000000000001,18.48,0.24300000000000002,0.779,0.5124000000000001,0.1434
New York Knicks,1610612752,29.0,47.8,0.3798,3711.4,105.24000000000001,108.64000000000001,-3.4,99.74000000000001,16.16,0.238,0.777,0.5046,0.13799999999999998
Oklahoma City Thunder,1610612760,37.4,40.6,0.47859999999999997,3771.0,105.42,107.55999999999999,-2.12,101.9,16.18,0.23200000000000004,0.7727999999999999,0.4992,0.1398
Orlando Magic,1610612753,28.6,49.6,0.3658,3767.6,104.02000000000001,108.6,-4.5600000000000005,100.76,17.46,0.21139999999999998,0.7796000000000001,0.4904,0.1342
Philadelphia 76ers,1610612755,49.2,29.0,0.6296,3776.6,109.74000000000001,105.75999999999999,3.9799999999999995,101.53999999999999,18.28,0.23399999999999999,0.785,0.5147999999999999,0.1422
Phoenix Suns,1610612756,37.8,40.4,0.48840000000000006,3775.6,108.3,108.94000000000001,-0.5999999999999999,102.1,18.240000000000002,0.2166,0.7668,0.49160000000000004,0.1394
Portland Trail Blazers,1610612757,41.2,37.2,0.5258,3779.2,109.8,110.3,-0.5,101.0,15.940000000000001,0.2364,0.7734,0.5034,0.1298
Sacramento Kings,1610612758,31.6,46.4,0.40659999999999996,3762.0,107.1,110.96,-3.8600000000000003,101.62,17.48,0.21800000000000003,0.765,0.4852,0.13540000000000002
San Antonio Spurs,1610612759,38.8,39.0,0.49639999999999995,3761.4,109.0,108.46,0.5399999999999999,100.72,18.14,0.217,0.7792,0.4968,0.1222
Toronto Raptors,1610612761,49.0,29.0,0.6245999999999999,3770.0,109.96,105.47999999999999,4.46,101.16,17.6,0.23079999999999998,0.7668,0.49800000000000005,0.13340000000000002
Utah Jazz,1610612762,48.6,29.4,0.6252,3758.0,110.82000000000001,105.12,5.66,100.28,17.28,0.2318,0.7932,0.5204000000000001,0.1452
Washington Wizards,1610612764,33.8,44.2,0.43200000000000005,3775.0,108.3,110.47999999999999,-2.2,102.7,18.14,0.2184,0.762,0.48840000000000006,0.136
